,Quarter,1. open,2. high,3. low,4. close,5. volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportedCurrency_x,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome_x,reportedCurrency_y,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome_y
55,2009Q4,59.009796875,59.50546875,58.583065625,59.082499999999996,3584615.625,0.6,0.6,0,0,USD,2218000000,17299000000,15081000000,15081000000,428000000,1777000000,None,1790000000,None,None,None,24000000,None,None,None,184000000,418000000,152000000,None,None,None,442000000,612000000,266000000,USD,23478000000,11627000000,3617000000,4189000000,6223000000,849000000,11851000000,11115000000,4593000000,None,None,None,None,None,572000000,366000000,736000000,13047000000,10285000000,6317000000,None,None,30000000,2762000000,None,None,50000000,2135000000,2215000000,1229000000,None,10345000000,None,6288000000,2000000,437173000,USD,751000000,None,None,None,None,184000000,313000000,None,795000000,270000000,-296000000,-5000000,None,0,None,None,79000000,79000000,None,None,None,None,None,None,460000000,10000000,266000000
56,2009Q4,59.009796875,59.50546875,58.583065625,59.082499999999996,3584615.625,0.85,0.77,0.08,10.3896,USD,2218000000,17299000000,15081000000,15081000000,428000000,1777000000,None,1790000000,None,None,None,24000000,None,None,None,184000000,418000000,152000000,None,None,None,442000000,612000000,266000000,USD,23478000000,11627000000,3617000000,4189000000,6223000000,849000000,11851000000,11115000000,4593000000,None,None,None,None,None,572000000,366000000,736000000,13047000000,10285000000,6317000000,None,None,30000000,2762000000,None,None,50000000,2135000000,2215000000,1229000000,None,10345000000,None,6288000000,2000000,437173000,USD,751000000,None,None,None,None,184000000,313000000,None,795000000,270000000,-296000000,-5000000,None,0,None,None,79000000,79000000,None,None,None,None,None,None,460000000,10000000,266000000
57,2010Q1,59.6294262295082,60.058573770491805,59.297311475409835,59.68295081967213,3422432.2131147543,0.7,0.72,-0.02,-2.7778,USD,470000000,18742000000,18272000000,16396000000,470000000,1873000000,None,1902000000,None,-26000000,None,26000000,None,None,None,None,468000000,169000000,26000000,301000000,294000000,494000000,None,299000000,USD,23366000000,11501000000,4134000000,4719000000,5365000000,951000000,None,11105000000,4752000000,None,None,None,None,None,585000000,None,760000000,12623000000,9865000000,5598000000,None,None,46000000,None,None,None,45000000,2134000000,None,1350000000,None,10651000000,None,6495000000,2000000,439786000,USD,609000000,None,None,None,None,185000000,193000000,None,-858000000,305000000,-210000000,116000000,None,6000000,None,None,None,None,None,None,None,None,None,None,517000000,2000000,299000000
60,2010Q4,66.715628125,67.3037484375,66.3912109375,66.9315625,3527957.8125,0.71,0.69,0.02,2.8986,USD,529000000,19239000000,18710000000,16757000000,525000000,1945000000,None,1979000000,None,-26000000,None,26000000,None,None,None,191000000,484000000,172000000,26000000,353000000,822000000,510000000,716000000,312000000,USD,26043000000,13558000000,3739000000,5284000000,6852000000,985000000,12485000000,12019000000,5430000000,None,None,None,None,None,1545000000,437000000,466000000,14336000000,11502000000,7205000000,None,None,24000000,2834000000,None,None,None,2143000000,2167000000,1410000000,None,11199000000,None,6685000000,2000000,434099000,USD,720000000,136000000,None,961000000,917000000,191000000,306000000,None,912000000,332000000,-137000000,-87000000,71000000,145000000,145000000,None,89000000,89000000,None,None,None,None,-145000000,None,525000000,29000000,312000000
61,2010Q4,66.715628125,67.3037484375,66.3912109375,66.9315625,3527957.8125,0.97,0.95,0.02,2.1053,USD,529000000,19239000000,18710000000,16757000000,525000000,1945000000,None,1979000000,None,-26000000,None,26000000,None,None,None,191000000,484000000,172000000,26000000,353000000,822000000,510000000,716000000,312000000,USD,26043000000,13558000000,3739000000,5284000000,6852000000,985000000,12485000000,12019000000,5430000000,None,None,None,None,None,1545000000,437000000,466000000,14336000000,11502000000,7205000000,None,None,24000000,2834000000,None,None,None,2143000000,2167000000,1410000000,None,11199000000,None,6685000000,2000000,434099000,USD,720000000,136000000,None,961000000,917000000,191000000,306000000,None,912000000,332000000,-137000000,-87000000,71000000,145000000,145000000,None,89000000,89000000,None,None,None,None,-145000000,None,525000000,29000000,312000000
62,2011Q1,72.59242096774193,73.11608548387096,72.06403387096775,72.62741935483871,2480553.2258064514,0.79,0.79,0,0,USD,598000000,20875000000,20277000000,18235000000,596000000,2040000000,None,2069000000,None,-27000000,None,27000000,None,None,None,None,552000000,204000000,27000000,369000000,418000000,579000000,None,348000000,USD,25716000000,13138000000,3355000000,5379000000,6127000000,1116000000,None,12102000000,5620000000,None,None,None,None,None,2024000000,None,476000000,13592000000,10746000000,5970000000,None,None,1000000,None,None,None,None,2144000000,None,1688000000,None,11583000000,None,6863000000,2000000,436682000,USD,726000000,180000000,None,-861000000,-760000000,195000000,234000000,None,-761000000,369000000,-724000000,-416000000,-415000000,94000000,94000000,None,None,None,None,None,None,None,99000000,None,-384000000,30000000,348000000
65,2011Q4,83.3793634920635,84.11464761904762,82.66527619047619,83.42936507936508,2500287.301587302,0.8,0.8,0,0,USD,542000000,21628000000,21086000000,18931000000,543000000,2144000000,None,2182000000,None,-27000000,None,27000000,None,None,None,205000000,545000000,225000000,27000000,328000000,152000000,572000000,748000000,320000000,USD,28004000000,14993000000,4319000000,5915000000,7618000000,982000000,13011000000,12381000000,6058000000,None,None,None,None,None,1596000000,478000000,630000000,15557000000,13311000000,7576000000,None,None,34000000,2246000000,None,2230000000,900000000,1330000000,2264000000,1666000000,None,11909000000,None,7175000000,2000000,434222000,USD,664000000,206000000,9000000,991000000,1076000000,205000000,343000000,None,1062000000,328000000,-352000000,67000000,194000000,163000000,163000000,None,105000000,105000000,None,None,None,None,-138000000,None,310000000,-69000000,320000000
66,2011Q4,83.3793634920635,84.11464761904762,82.66527619047619,83.42936507936508,2500287.301587302,1.08,1.1,-0.02,-1.8182,USD,542000000,21628000000,21086000000,18931000000,543000000,2144000000,None,2182000000,None,-27000000,None,27000000,None,None,None,205000000,545000000,225000000,27000000,328000000,152000000,572000000,748000000,320000000,USD,28004000000,14993000000,4319000000,5915000000,7618000000,982000000,13011000000,12381000000,6058000000,None,None,None,None,None,1596000000,478000000,630000000,15557000000,13311000000,7576000000,None,None,34000000,2246000000,None,2230000000,900000000,1330000000,2264000000,1666000000,None,11909000000,None,7175000000,2000000,434222000,USD,664000000,206000000,9000000,991000000,1076000000,205000000,343000000,None,1062000000,328000000,-352000000,67000000,194000000,163000000,163000000,None,105000000,105000000,None,None,None,None,-138000000,None,310000000,-69000000,320000000
68,2012Q2,87.22984126984127,87.90089206349207,86.67773015873016,87.32936507936508,2407860.3174603176,0.88,0.87,0.01,1.1494,USD,623000000,22324000000,21701000000,19543000000,623000000,2152000000,None,2177000000,None,-19000000,None,19000000,None,None,None,None,603000000,217000000,19000000,405000000,399000000,622000000,None,386000000,USD,27836000000,14591000000,4791000000,5976000000,7044000000,1018000000,None,12596000000,6443000000,None,None,None,None,None,1185000000,None,649000000,14653000000,12366000000,7302000000,None,None,None,None,None,1373000000,0,1373000000,None,1799000000,None,12585000000,None,7611000000,2000000,433791000,USD,1083000000,199000000,14000000,469000000,107000000,202000000,268000000,None,107000000,405000000,-65000000,-619000000,489000000,140000000,140000000,None,None,None,None,None,None,None,-108000000,None,402000000,3000000,386000000
70,2012Q4,98.34757903225807,99.14183870967742,97.50634516129033,98.29464999999999,3173158.064516129,0.95,0.93,0.02,2.1505,USD,639000000,23715000000,23076000000,20726000000,639000000,2332000000,None,2363000000,None,-13000000,None,13000000,None,None,None,213000000,641000000,225000000,13000000,421000000,433000000,654000000,852000000,416000000,USD,29323000000,15405000000,3897000000,5576000000,8152000000,1175000000,13918000000,13251000000,6772000000,None,None,None,None,None,1679000000,14903000000,667000000,16491000000,14135000000,8825000000,None,None,12000000,2356000000,None,1637000000,1000000,1366000000,1366000000,1150000000,None,12665000000,None,8099000000,2000000,438643000,USD,1102000000,192000000,6000000,1283000000,1057000000,213000000,488000000,None,1055000000,421000000,-855000000,121000000,247000000,36000000,36000000,None,120000000,120000000,None,None,None,None,-26000000,None,369000000,1000000,416000000
