,Quarter,1. open,2. high,3. low,4. close,5. volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportedCurrency_x,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome_x,reportedCurrency_y,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome_y
41,2009Q3,163.981875,165.87523125,162.2676953125,164.3115625,10331700.0,4.93,3.54,1.39,39.2655,USD,-7578000000,12372000000,7578000000,5581000000,-13207000000,5629000000,None,5629000000,None,1453000000,3000000000,1064000000,None,None,None,8000000,4794000000,1606000000,1064000000,-22391000000,3298000000,5858000000,5866000000,3188000000,USD,882185000000,135910000000,65974000000,65974000000,352190000000,None,352190000000,11321000000,None,1388000000,1388000000,1388000000,574007000000,None,185548000000,None,None,816831000000,127035000000,None,None,127035000000,127035000000,189724000000,None,204305000000,None,189724000000,228279000000,-38555000000,None,65354000000,32157000000,45660000000,8000000,513055963,USD,-22391000000,None,None,None,None,8000000,424000000,None,177292000000,-22391000000,None,-5966000000,None,0,None,None,355000000,355000000,None,None,None,None,3291000000,None,838000000,None,3188000000
42,2009Q4,174.17125,175.84671875,172.0688890625,173.820625,8973296.875,5.25,4.24,1.01,23.8208,USD,-2238000000,9526000000,2238000000,1915000000,-1996000000,-242000000,None,-242000000,None,-7732000000,3075000000,-799000000,None,None,None,26000000,7377000000,2429000000,-799000000,-6663000000,4826000000,6578000000,6604000000,4948000000,USD,848942000000,38290000000,38290000000,38290000000,342402000000,None,360186000000,11380000000,7280000000,1377000000,1377000000,3543000000,532341000000,1484000000,180942000000,None,None,778228000000,128360000000,None,None,128360000000,128360000000,185085000000,None,196288000000,17928000000,196288000000,246735000000,-236081000000,None,70714000000,32156000000,50252000000,8000000,515113890,USD,25523000000,1270000000,None,-21364000000,None,26000000,479000000,None,186295000000,-6663000000,-261000000,-9986000000,None,0,None,None,355000000,355000000,None,None,None,None,-20816000000,None,15276000000,None,4948000000
43,2010Q1,164.13926229508198,165.9314344262295,162.22561475409836,164.07520491803277,12363878.68852459,8.2,5.2,3,57.6923,USD,-7616000000,10522000000,7616000000,5749000000,-13395000000,5779000000,None,5779000000,None,-799000000,3001000000,814000000,9195000000,None,None,44000000,5159000000,1703000000,814000000,-22714000000,3462000000,5973000000,6017000000,3456000000,USD,880528000000,141560000000,70117000000,70117000000,339435000000,None,339435000000,12322000000,None,5983000000,5983000000,3575000000,542276000000,None,43053000000,None,None,807584000000,153517000000,None,None,153517000000,153517000000,180414000000,None,193609000000,None,180414000000,221198000000,-40784000000,None,72944000000,34388000000,53345000000,8000000,514190734,USD,-7504000000,2010000000,None,11056000000,None,44000000,278000000,None,6986000000,-22714000000,-966000000,-2757000000,None,2269000000,2269000000,None,363000000,363000000,None,None,None,None,-2269000000,None,-11227000000,None,3456000000
44,2010Q2,149.8947619047619,151.87625396825396,146.92507936507937,148.98142857142858,18047273.015873015,5.59,4.01,1.58,39.4015,USD,-586000000,6807000000,7393000000,4076000000,-4772000000,4104000000,None,5474000000,None,1515000000,3302000000,1288000000,5292000000,None,None,82000000,1448000000,835000000,1288000000,-13000000000,651000000,2736000000,2818000000,613000000,USD,883188000000,32600000000,32600000000,32600000000,334868000000,None,334868000000,11958000000,7800000000,5894000000,2346000000,3548000000,526306000000,1359000000,56414000000,None,None,809369000000,174104000000,None,None,174104000000,156068000000,190980000000,None,190984000000,18036000000,190980000000,217705000000,-229399000000,None,73819000000,34386000000,53599000000,8000000,515486866,USD,-13000000000,1740000000,None,7089000000,None,82000000,174000000,None,16823000000,-13000000000,276000000,-4692000000,None,0,0,None,359000000,359000000,None,None,None,None,0,None,5537000000,None,613000000
45,2010Q3,146.18375,147.7241515625,144.686796875,146.2421875,7886587.5,0.78,2.08,-1.3,-62.5,USD,568000000,6660000000,6092000000,4125000000,-3614000000,4149000000,None,5589000000,None,1055000000,2937000000,1407000000,5605000000,None,None,33000000,2811000000,913000000,1407000000,-10619000000,1932000000,4218000000,4251000000,1898000000,USD,908679000000,36130000000,36130000000,36130000000,351795000000,None,351795000000,11410000000,8120000000,5866000000,2359000000,3507000000,537265000000,1402000000,52192000000,None,None,833022000000,178349000000,None,None,178349000000,155997000000,197070000000,None,197067000000,22352000000,197070000000,229069000000,-233801000000,None,75657000000,35202000000,55136000000,8000000,511518083,USD,-10619000000,1600000000,None,7957000000,None,33000000,447000000,None,3516000000,-10619000000,-87000000,2939000000,None,819000000,819000000,None,361000000,361000000,None,None,None,None,-819000000,None,3528000000,None,1898000000
46,2010Q4,161.32453125,163.0527828125,160.04943125,161.68921875,5547725.0,2.98,2.32,0.66,28.4483,USD,-32530000000,8064000000,5168000000,4354000000,-36031000000,3140000000,None,2956000000,None,-7270000000,3069000000,-545000000,None,None,None,361000000,3474000000,1087000000,-545000000,-42286000000,2385000000,2929000000,3290000000,2387000000,USD,911332000000,39790000000,39788000000,39790000000,356953000000,None,375026000000,11106000000,7870000000,5522000000,2027000000,3495000000,167751000000,1445000000,242086000000,166306000000,None,833976000000,193699000000,None,None,193699000000,72371000000,188247000000,None,174399000000,25396000000,188247000000,262144000000,-262875000000,582631000000,77356000000,36295000000,57163000000,8000000,507530772,USD,-9282000000,1390000000,None,None,None,361000000,328000000,None,None,-42286000000,592000000,12349000000,None,1095000000,1095000000,None,360000000,360000000,None,None,None,None,-1095000000,None,3659000000,None,2387000000
47,2011Q1,164.38532258064515,165.75859677419353,163.02760161290323,164.40064516129033,5026119.354838709,3.79,3.76,0.03,0.7979,USD,-8683000000,11894000000,7854000000,5500000000,-14350000000,5610000000,None,6525000000,None,-829000000,3107000000,858000000,None,3107000000,None,57000000,4040000000,1305000000,858000000,-23509000000,2691000000,4898000000,4955000000,2735000000,USD,933289000000,42680000000,42680000000,42680000000,374806000000,None,391393000000,10184000000,7860000000,1916000000,1916000000,3322000000,185382000000,1165000000,53512000000,184217000000,None,860820000000,201814000000,None,None,201814000000,171728000000,183053000000,None,173793000000,30086000000,183053000000,264453000000,-247142000000,611386000000,72469000000,37723000000,57803000000,8000000,517917496,USD,1900000000,2710000000,None,None,None,57000000,277000000,None,None,-23509000000,112000000,883000000,None,1481000000,1481000000,None,358000000,358000000,None,None,None,None,-1481000000,None,2895000000,None,2735000000
48,2011Q2,144.6275396825397,145.8696492063492,143.13178412698414,144.23174603174604,6070714.285714285,1.56,0.82,0.74,90.2439,USD,-7329000000,7281000000,5669000000,3456000000,-10992000000,3597000000,None,5350000000,None,-1660000000,3681000000,1687000000,None,3681000000,None,66000000,1612000000,525000000,1687000000,-17186000000,1070000000,3299000000,3365000000,1087000000,USD,936910000000,45430000000,45430000000,45430000000,370605000000,None,386675000000,9743000000,8060000000,5187000000,1864000000,3323000000,179542000000,1140000000,223776000000,175472000000,None,864554000000,116299000000,None,None,116299000000,83063000000,183221000000,None,175210000000,33236000000,183221000000,266284000000,-266348000000,615820000000,72356000000,39219000000,58659000000,8000000,507855774,USD,-17186000000,1310000000,None,None,None,66000000,243000000,None,None,-17186000000,337000000,-8342000000,None,1499000000,5356000000,None,1968000000,1968000000,None,None,None,None,-5356000000,None,2750000000,None,1087000000
49,2011Q3,117.94015625,119.7921875,115.656021875,117.54921875,7977520.3125,1.85,2.27,-0.42,-18.5022,USD,-5764000000,3587000000,4317000000,1840000000,-7775000000,1927000000,None,3490000000,None,-1447000000,3354000000,1479000000,None,3354000000,None,84000000,-730000000,-337000000,1479000000,-393000000,-360000000,749000000,833000000,-393000000,USD,948909000000,44200000000,44200000000,44200000000,371459000000,None,387063000000,9484000000,8350000000,5459000000,1816000000,3643000000,157590000000,661000000,263277000000,156929000000,None,878821000000,119278000000,None,None,119278000000,87281000000,185020000000,None,425829000000,31997000000,185020000000,513110000000,-273948000000,619350000000,70088000000,41372000000,58043000000,8000000,492622657,USD,-424000000,2090000000,None,None,None,84000000,459000000,None,None,-393000000,539000000,8456000000,None,2160000000,2160000000,None,223000000,223000000,None,None,None,None,-2160000000,None,-1230000000,None,-393000000
50,2011Q4,97.71206349206349,99.60429523809523,95.72589841269841,97.57539682539682,7750698.412698412,-0.84,-0.16,-0.68,-425,USD,-6428000000,5489000000,4802000000,1030000000,-9642000000,3032000000,None,4877000000,None,9624000000,3032000000,3462000000,None,None,None,1658000000,1247000000,234000000,1663000000,1013000000,811000000,4709000000,6367000000,1013000000,USD,923225000000,56000000000,56008000000,56000000000,364206000000,None,379035000000,8697000000,8460000000,1666000000,1666000000,3802000000,154005000000,664000000,252053000000,None,None,852846000000,107059000000,None,None,107059000000,78223000000,181724000000,None,416179000000,28836000000,181724000000,494402000000,-276515000000,None,70379000000,42281000000,58834000000,8000000,485467565,USD,19215000000,1940000000,None,None,None,182000000,205000000,None,5085000000,1013000000,497000000,-7907000000,None,908000000,908000000,None,222000000,222000000,None,None,None,None,-908000000,None,11805000000,None,1013000000
