,Quarter,1. open,2. high,3. low,4. close,5. volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportedCurrency_x,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome_x,reportedCurrency_y,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome_y
5,2017Q4,6.033871794871795,6.230797435897436,5.8217,5.944384615384615,41044.153846153844,-0.04,-0.05,0.01,20,USD,9173000,17192000,8019000,8020000,3765000,3346000,2062000,5408000,2000,-597000,-517000,80000,None,None,81000,88000,3460000,76000,80000,3365000,3367000,3540000,3628000,3384000,USD,67891000,62914000,17681000,17681000,15388000,26762000,4977000,2340000,8263000,106000,106000,None,3042000,1237000,None,46000,0,28034000,21817000,7419000,None,5106000,5095000,6217000,None,11000,11000,None,5106000,9149000,6217000,39857000,None,-9961000,1000,12016795,USD,-7974000,81000,None,-1167000,6743000,81000,580000,10723000,-2860000,3365000,-15234000,18714000,1534000,None,None,None,11299000,11299000,None,3417000,None,None,3417000,None,607000,567000,3384000
6,2018Q1,7.9673114754098355,8.405393442622952,7.640655737704917,8.025247540983607,79430.68852459016,0.07,0.03,0.04,133.3333,USD,5122000,9743000,4621000,4621000,-1904000,5485000,1541000,7026000,3000,-103000,None,103000,None,-755000,85000,80000,-2758000,22000,103000,-2780000,-2075000,-2655000,-2575000,-2780000,USD,71934000,66494000,15186000,15186000,19865000,27793000,5440000,2731000,8673000,126000,126000,None,4368000,1238000,None,45000,None,28932000,22751000,5525000,None,10376000,10376000,6181000,None,None,10376000,None,10376000,6586000,6181000,43002000,None,-12741000,1000,15383086,USD,-16111000,100000,None,-2528000,5670000,85000,395000,-14000,3896000,-2780000,-395000,5143000,5081000,None,None,None,None,None,None,0,None,None,62000,None,-2495000,150000,-2780000
7,2018Q2,12.0088109375,12.36828125,11.6456859375,11.97578125,73989.4375,-0.01,-0.03,0.02,66.6667,USD,8724000,20873000,12149000,12149000,2331000,3974000,2419000,6393000,14000,-149000,None,149000,None,1066000,88000,93000,3379000,164000,149000,3215000,2179000,3528000,3621000,3215000,USD,87833000,81879000,17435000,17435000,27531000,33289000,5954000,3050000,8282000,231000,231000,None,3621000,1355000,None,0,40000,42236000,36367000,17755000,None,9932000,9932000,5869000,None,None,9932000,None,9932000,6749000,5869000,45597000,None,-9526000,1000,15838540,USD,3303000,152000,None,13375000,15255000,88000,644000,6872000,8432000,3215000,-644000,53000,-180000,None,None,None,None,None,None,0,None,None,233000,None,2249000,-435000,3215000
8,2018Q3,12.777333333333333,13.08704761904762,12.408761904761905,12.750873015873015,57184.12698412698,0.06,0.03,0.03,100,USD,10287000,23179000,12892000,12892000,3404000,4619000,2264000,6883000,3000,-112000,None,112000,23179000,902000,84000,207000,4314000,461000,112000,3853000,3107000,4426000,4633000,3853000,USD,89413000,82777000,18238000,18238000,29809000,30965000,6636000,3593000,8035000,300000,300000,None,3653000,1472000,None,32000,41000,40081000,34851000,11991000,None,10163000,10163000,5230000,None,None,None,None,10163000,8779000,5230000,49332000,None,-5673000,1000,15915864,USD,8308000,112000,None,-3704000,1399000,84000,909000,-1332000,2829000,3853000,-909000,418000,202000,None,None,None,None,None,None,0,None,None,216000,None,803000,-91000,3853000
9,2018Q4,10.563809523809523,10.787539682539682,10.291587301587303,10.541031746031747,25780.25396825397,0.08,0.02,0.06,300,USD,10316000,20848000,10532000,10532000,2640000,3520000,4156000,7676000,9000,1619000,1753000,134000,-53795000,42000,93000,37000,2445000,159000,134000,2286000,2384000,2579000,2616000,2286000,USD,103047000,96028000,27124000,27124000,38764000,24608000,7019000,3708000,8102000,274000,274000,None,1360000,1360000,None,0,40000,50723000,46140000,16673000,8417000,9447000,9447000,4583000,None,None,None,None,9447000,11603000,4583000,52324000,None,-3387000,1000,16010910,USD,9642000,134000,None,6296000,2326000,93000,123000,-6409000,8926000,2286000,-123000,-491000,-508000,None,None,None,None,None,None,0,None,None,17000,None,8886000,-142000,2286000
10,2019Q1,11.343622950819672,11.692131147540984,11.04788524590164,11.423934426229508,79390.22950819672,0.05,0.03,0.02,66.6667,USD,8826000,20479000,11653000,11653000,2251000,3810000,2765000,6575000,9000,-139000,14000,139000,20479000,-261000,175000,191000,1976000,119000,139000,1857000,2514000,2115000,2306000,1857000,USD,111419000,99505000,27367000,27367000,42253000,25070000,7127000,3719000,8377000,263000,263000,None,1476000,1476000,None,1833000,0,55777000,49019000,13333000,None,12829000,12829000,3296000,4788000,3462000,12829000,None,12829000,13062000,3296000,55642000,None,-1530000,1000,16044655,USD,-3182000,139000,None,-4117000,2470000,175000,116000,-99000,2759000,1857000,-116000,3261000,3201000,None,None,None,None,None,None,0,None,None,60000,None,243000,280000,1857000
11,2019Q2,17.44047619047619,17.880603174603177,16.851015873015875,17.383015873015875,125518.93650793651,0.05,-0.01,0.06,600,USD,13131000,29010000,15879000,15879000,4661000,5129000,3341000,8470000,24000,-194000,24000,194000,29010000,543000,177000,197000,5187000,876000,194000,4311000,3343000,5381000,5578000,4311000,USD,120269000,108400000,27578000,27578000,45494000,31393000,10125000,3376000,2831000,307000,307000,None,1738000,1629000,None,1547000,263000,60554000,53401000,18238000,None,16470000,15110000,7153000,4550000,None,1360000,None,15110000,13009000,3963000,59715000,None,2781000,1000,16090937,USD,-1425000,271000,None,7558000,10961000,177000,280000,6936000,4024000,4311000,-389000,2588000,2476000,None,None,None,None,None,None,0,None,None,112000,None,211000,-563000,4311000
12,2019Q3,15.81196875,16.169609375,15.380515625000001,15.754843750000001,141759.375,0.09,0.04,0.05,125,USD,16254000,33427000,17173000,17173000,7030000,5732000,3492000,9224000,95000,-205000,95000,205000,33427000,1850000,176000,198000,8454000,-328000,205000,9089000,6191000,8659000,8857000,8782000,USD,180216000,163654000,47264000,47264000,43506000,45296000,9905000,3573000,2920000,285000,285000,None,5968000,1620000,None,27588000,222000,61983000,56148000,15440000,8397000,17015000,15665000,5835000,4205000,None,1350000,None,15665000,15296000,2980000,91345000,None,11563000,2000,16999746,USD,-145000,455000,None,-2039000,10764000,176000,550000,11610000,-894000,9089000,-4789000,53326000,820000,None,None,None,None,None,None,0,None,None,25818000,None,8810000,None,8782000
13,2019Q4,14.736625,15.096078125,14.423234375,14.759453125,110646.421875,0.18,0.07,0.11,157.1429,USD,12443000,24608000,12165000,12165000,3849000,5292000,3302000,8594000,205000,-207000,205000,207000,24610000,-739000,185000,202000,2759000,-1185000,207000,4201000,6028000,2966000,3168000,3944000,USD,217703000,198396000,58261000,58261000,44796000,33694000,19200000,3619000,3077000,344000,344000,None,5934000,5827000,0,61645000,192000,60220000,53502000,13262000,9129000,15108000,13753000,6718000,3887000,None,0,0,13753000,16003000,4186000,97321000,None,15507000,2000,18056660,USD,14155000,623000,None,738000,-11233000,185000,179000,-12377000,769000,4201000,-237000,28270000,-2079000,2042000,2042000,None,None,None,None,-29000,None,None,-2066000,None,42188000,None,3944000
14,2020Q1,32.266290322580645,34.123064516129034,30.551951612903228,32.344193548387096,780012.8225806452,0.08,0.03,0.05,166.6667,USD,10228000,24348000,14120000,46000,1218000,5333000,3677000,9010000,335000,-111000,335000,111000,24348000,677000,185000,212000,2009000,304000,111000,1963000,757000,2120000,2332000,1705000,USD,217208000,198477000,52283000,52283000,44987000,40496000,12716000,3495000,3266000,307000,307000,None,6015000,6015000,None,60711000,155000,58799000,50767000,18616000,9236000,5237000,3892000,8032000,3547000,None,1345000,None,3892000,17678000,5830000,98942000,None,17212000,2000,18120363,USD,3829000,538000,None,9569000,8491000,185000,118000,7585000,931000,1963000,-118000,-9559000,-9734000,0,0,None,None,None,None,0,None,None,175000,None,-5848000,None,1705000
