,Quarter,1. open,2. high,3. low,4. close,5. volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportedCurrency_x,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome_x,reportedCurrency_y,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome_y
51,2011Q2,138.91031746031746,141.57578095238094,137.08152222222222,139.44111111111113,124131.74603174604,0.1,0.39,-0.29,-74.359,USD,103608000,138151000,34543000,34543000,3473000,83261000,16874000,100135000,39000,None,None,None,None,-316000,None,4233000,3196000,311000,None,2885000,2761000,3473000,8022000,2885000,USD,403092000,305277000,193025000,193495000,None,70974000,86984000,78931000,None,10831000,10831000,None,None,None,470000,41278000,None,246596000,192226000,None,None,None,None,54370000,None,None,None,None,None,89903000,43816000,156496000,475184000,174439000,17000,10709000,USD,3258000,None,None,None,None,4233000,16136000,None,None,2885000,-14230000,66000,None,None,None,None,None,None,None,None,None,None,None,None,-10118000,788000,2885000
52,2011Q3,134.41140625,137.5153203125,130.9463546875,133.87546875,204735.9375,0.26,0.57,-0.31,-54.386,USD,105040000,141704000,36664000,36664000,1537000,83069000,20434000,103503000,18000,None,None,None,None,969000,None,5054000,5895000,974000,None,4921000,4794000,1537000,-2803000,4921000,USD,415194000,310393000,186300000,186713000,None,77084000,95613000,87497000,None,9188000,9188000,None,None,None,413000,47009000,None,251216000,193452000,None,None,None,None,57764000,None,None,None,None,None,96000000,42992000,163978000,475184000,179360000,17000,10729000,USD,910000,1937000,None,133000,8843000,5054000,10322000,8760000,None,4921000,-7420000,2590000,None,None,None,None,None,None,None,None,None,None,653000,None,-6725000,-2805000,4921000
53,2011Q4,120.70190476190477,123.26058571428571,117.82922222222223,120.63380952380953,171903.17460317462,0.19,0.42,-0.23,-54.7619,USD,122614000,160266000,26330000,37652000,14778000,91348000,17557000,94176000,60000,None,None,None,None,742000,None,5621000,11713000,2713000,None,9000000,8632000,14778000,13909000,9000000,USD,453851000,343205000,199634000,199923000,None,94723000,103615000,95311000,48746000,7031000,7031000,None,None,None,289000,48848000,None,284873000,218393000,None,None,None,None,66480000,None,None,None,None,None,115194000,45141000,168978000,475184000,188360000,17000,10767000,USD,28438000,-3759000,None,14803000,17375000,5621000,11532000,19530000,17239000,122614000,-10032000,-3535000,None,None,None,None,None,None,None,None,None,None,256000,None,13334000,-1537000,9000000
54,2012Q1,124.46274193548388,126.93345161290323,122.71224193548386,124.77387096774194,191320.96774193548,0.81,0.95,-0.14,-14.7368,USD,102604000,138334000,35730000,38989000,1624000,81903000,22174000,100980000,15000,None,None,None,None,-124000,None,6428000,726000,454000,None,272000,579000,1624000,7046000,272000,USD,448453000,332816000,211132000,211469000,None,76854000,110587000,102238000,None,5050000,5050000,None,None,None,337000,44830000,None,277916000,218411000,None,None,None,None,59505000,None,None,None,None,None,98086000,43035000,170537000,475184000,188632000,17000,10806000,USD,20774000,0,None,14592000,-18732000,6428000,13452000,-17900000,-16867000,272000,-11666000,980000,None,None,None,None,None,None,None,None,None,None,980000,None,11498000,1410000,272000
55,2012Q2,135.0631746031746,137.0678396825397,133.0562095238095,134.98539682539683,167469.84126984127,0.02,0.04,-0.02,-50,USD,101264000,135324000,34060000,36636000,10487000,75056000,19017000,90777000,35000,None,None,None,None,1000000,None,5384000,10867000,3596000,None,7271000,6735000,10487000,13862000,7271000,USD,434317000,314896000,195540000,195787000,None,78893000,107265000,102227000,None,9425000,9425000,None,None,None,247000,40463000,None,255078000,193816000,None,None,None,None,61262000,None,None,None,None,None,88293000,44329000,179239000,475184000,195903000,17000,10875000,USD,-925000,0,None,-19087000,11121000,5384000,10490000,5829000,None,7271000,-14078000,1967000,None,None,None,None,None,None,None,None,None,None,1967000,None,-15592000,-2556000,7271000
56,2012Q3,124.77619047619046,126.8288873015873,123.22336507936508,124.90222222222222,128907.93650793651,0.65,0.46,0.19,41.3043,USD,101233000,136080000,34847000,37485000,7302000,75567000,21920000,93931000,41000,None,None,None,None,-112000,None,5890000,6860000,2097000,None,4763000,5169000,7302000,12716000,4763000,USD,455940000,335497000,216609000,216837000,None,75474000,106482000,101675000,None,11713000,11713000,None,None,None,228000,43414000,None,265523000,205135000,None,None,None,None,60388000,None,None,None,None,None,102752000,44400000,190417000,475184000,200666000,17000,11050000,USD,21338000,0,None,2800000,-4629000,5890000,4069000,-2483000,None,4763000,-7135000,5754000,None,None,None,None,None,None,None,None,None,None,6010000,None,21069000,1112000,4763000
57,2012Q4,101.48258064516129,102.65660806451613,99.85760967741936,101.15875,152985.48387096773,0.43,0.84,-0.41,-48.8095,USD,119547000,155986000,36439000,39682000,13686000,84570000,25079000,105861000,50000,None,None,None,None,-1799000,None,6817000,11827000,3587000,None,124771000,8600000,13686000,13493000,8240000,USD,477938000,362043000,224393000,224429000,None,93758000,105773000,96751000,60320000,10360000,10360000,None,None,None,36000,39990000,None,277627000,219155000,None,None,None,None,58571000,None,2119000,None,None,None,74676000,43418000,200311000,475184000,208906000,17000,11247000,USD,8697000,31000,None,-1473000,15672000,6817000,3105000,17992000,4447000,124771000,-2954000,1058000,None,None,None,None,None,None,None,None,None,None,1293000,None,7784000,983000,8240000
58,2013Q1,101.43616666666667,102.913865,100.00512499999999,101.45386333333333,104190.0,0.73,0.96,-0.23,-23.9583,USD,94282000,130183000,35901000,35901000,-8661000,77126000,25817000,102943000,61000,None,None,None,None,1708000,None,6456000,49890000,-1701000,None,-5191000,50604000,-8661000,-2205000,51591000,USD,546129000,431404000,330195000,330395000,None,69486000,101639000,96694000,None,9007000,9007000,None,None,None,200000,31723000,None,271296000,216624000,None,None,None,None,54672000,None,None,None,None,None,52124000,41631000,274833000,475184000,260497000,17000,11295000,USD,-10159000,23579000,None,17564000,-17360000,6456000,5497000,-16941000,-1120000,14434000,94012000,23775000,None,None,None,None,None,None,None,None,None,None,339000,None,105802000,-1826000,51591000
59,2013Q2,93.5334375,94.600684375,92.258790625,93.53359375,113782.8125,-0.46,0.35,-0.81,-231.4286,USD,101459000,137905000,36446000,36446000,-2048000,79280000,24227000,103507000,322000,None,None,None,5000,-419000,None,6655000,-2145000,-592000,None,-1553000,-1381000,-2048000,4607000,-1553000,USD,536117000,422243000,188688000,317775000,None,73397000,100289000,93153000,None,9389000,9389000,None,None,None,129087000,31071000,None,262661000,209227000,None,None,None,None,53434000,None,None,None,None,None,58686000,42022000,273456000,475184000,258944000,17000,11301000,USD,-6455000,1000,None,-13585000,4954000,6646000,3424000,6249000,-632000,-1553000,-134660000,-178000,None,None,None,None,None,None,None,None,None,None,2000,None,-141507000,-214000,-1553000
60,2013Q3,97.217234375,98.4065546875,96.0893875,97.36140625,60160.9375,-0.14,0.33,-0.47,-142.4242,USD,108666000,141919000,33253000,33253000,11626000,75063000,21977000,97040000,80000,None,None,None,-42000,-3213000,None,6509000,8493000,-8653000,None,17146000,18182000,11626000,11626000,17146000,USD,552677000,441646000,163777000,343948000,None,62869000,96047000,89165000,None,11896000,11896000,None,None,None,180171000,34829000,None,260595000,219435000,None,None,None,None,41160000,None,None,None,None,None,64786000,26602000,292082000,475184000,276090000,17000,11301000,USD,31203000,0,None,3130000,-10071000,6482000,1098000,-11697000,-263000,17146000,-55861000,-1713000,None,None,None,None,None,None,None,None,None,None,0,None,-24911000,1460000,17146000
