,Quarter,1. open,2. high,3. low,4. close,5. volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportedCurrency_x,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome_x,reportedCurrency_y,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome_y
17,2010Q2,137.76095238095238,140.1976380952381,135.12180317460317,137.5857142857143,693949.2063492064,1.19,0.95,0.24,25.2632,USD,146492000,466841000,320349000,256712000,74959000,30141000,None,116605000,None,None,None,85000,None,342000,None,17053000,75301000,28840000,None,46461000,46511000,74959000,92439000,46461000,USD,1009122000,339348000,202042000,307042000,6358000,3787000,669774000,641600000,None,21939000,21939000,21939000,None,None,105000000,22161000,6235000,259108000,100574000,30211000,None,None,111000,154810000,None,3724000,None,None,3835000,66871000,8570000,750014000,172899000,361841000,337000,31373000,USD,69089000,None,None,None,None,17053000,21950000,None,44000,46461000,-21950000,-38099000,None,40785000,None,None,None,None,None,None,None,None,-40785000,None,9040000,None,46461000
18,2010Q3,152.00296875,154.2347328125,149.940046875,152.45484375,692507.8125,1.46,1.39,0.07,5.036,USD,148391000,476874000,328483000,260922000,77584000,33522000,None,119538000,None,None,None,14000,None,381000,None,17319000,77965000,29737000,None,48228000,49172000,77584000,95298000,48228000,USD,1032371000,345399000,210996000,300996000,7175000,4446000,686972000,658423000,None,21939000,21939000,21939000,None,None,90000000,22691000,6610000,271342000,103433000,35641000,None,None,117000,164216000,None,3693000,None,None,3810000,67675000,9374000,761029000,225796000,410069000,338000,31031000,USD,67240000,None,None,-12310000,-2216000,17319000,29526000,-503000,816000,48228000,-14526000,-44539000,None,52897000,52897000,None,None,None,None,None,None,None,-47061000,None,8954000,779000,48228000
19,2010Q4,218.121875,221.2556140625,214.917534375,218.39125,988809.375,1.52,1.31,0.21,16.0305,USD,482521000,482521000,334429000,269121000,73992000,28733000,None,119666000,None,None,None,91000,None,311000,None,17815000,74303000,27858000,None,73992000,46187000,73992000,92209000,46445000,USD,1121605000,406221000,224838000,349604000,7098000,5658000,715384000,676881000,305228000,21939000,21939000,21939000,124766000,None,124766000,20333000,16564000,310732000,123054000,33705000,None,None,121000,184017000,None,3661000,None,None,3782000,38703000,9825000,810873000,240918000,456514000,340000,31102000,USD,92995000,None,None,25201000,19283000,17815000,42036000,198000,-79000,73992000,-78702000,-156000,None,15122000,15122000,None,None,None,None,None,None,None,-8767000,None,13842000,-295000,46445000
20,2011Q1,242.44661290322583,246.88297258064517,238.2823129032258,243.21435483870965,1047101.6129032258,1.47,1.29,0.18,13.9535,USD,152361000,509384000,357023000,288196000,74821000,32216000,None,126215000,None,None,None,188000,None,287000,None,18494000,75108000,28726000,None,46382000,47000000,74821000,93790000,46382000,USD,1158055000,377160000,282939000,327939000,8738000,7623000,780895000,683392000,None,21939000,21939000,21939000,None,59456000,45000000,25015000,16108000,295309000,99344000,35929000,None,None,124000,192336000,None,3629000,None,None,3753000,63291000,11341000,862746000,254441000,502896000,341000,31082000,USD,68305000,None,None,2459000,7448000,18494000,26438000,1968000,1639000,46382000,-6124000,-4480000,None,13523000,13523000,None,None,None,None,None,None,None,-13151000,None,58101000,400000,46382000
21,2011Q2,277.9893650793651,282.03753492063487,274.64570000000003,278.6831746031746,994206.3492063492,1.46,1.44,0.02,1.3889,USD,166441000,572036000,405595000,325826000,83863000,41968000,None,141990000,None,None,None,2481000,None,-2006000,None,18505000,81857000,31200000,None,53024000,50764000,83863000,104220000,50657000,USD,1263581000,441712000,349801000,384560000,8447000,6179000,821869000,695609000,None,21939000,21939000,21939000,124471000,89712000,34759000,36393000,14609000,324519000,117416000,40258000,None,None,128000,203507000,None,3596000,None,None,3724000,77030000,11892000,939062000,263402000,553553000,343000,31167000,USD,106411000,None,None,40841000,9619000,18505000,31243000,-1444000,-292000,53024000,-51838000,12068000,None,8961000,8961000,None,None,None,None,None,None,None,-8876000,None,66862000,221000,50657000
22,2011Q3,315.11578125,320.5784375,309.8790984375,315.5165625,990737.5,1.64,1.68,-0.04,-2.381,USD,181763000,592421000,410658000,333839000,98010000,37254000,None,139986000,None,None,None,119000,None,448000,None,18741000,98458000,38025000,None,60433000,59792000,98010000,118596000,60433000,USD,1343373000,487729000,409875000,444634000,8768000,5765000,855644000,719346000,None,21939000,21939000,21939000,134477000,99718000,34759000,28562000,14641000,343932000,128443000,49011000,None,None,130000,211926000,None,3563000,None,None,130000,76347000,11769000,999441000,282728000,613986000,343000,31331000,USD,116153000,8810000,None,17454000,-8601000,18741000,35186000,-388000,323000,60433000,-45186000,-10469000,None,19326000,19326000,None,None,None,None,None,None,None,-19248000,None,60074000,-424000,60433000
23,2011Q4,323.59015873015875,327.7795952380952,319.54688095238095,323.83476190476193,668515.873015873,1.9,1.85,0.05,2.7027,USD,596749000,596749000,445660000,333978000,93868000,69890000,None,180327000,None,None,None,157000,None,414000,None,19198000,94282000,36809000,None,93868000,56980000,93868000,115127000,57473000,USD,1425308000,501192000,401243000,456248000,8913000,8389000,988431000,751951000,370169000,21939000,21939000,21939000,367084000,128241000,55005000,27642000,21985000,381082000,157453000,46382000,None,None,133000,284415000,None,3529000,None,None,133000,46557000,12435000,1044226000,304426000,671459000,344000,31283000,USD,120227000,17787000,None,35293000,9069000,19198000,58280000,2834000,146000,93868000,-107070000,-21387000,None,21698000,21698000,None,None,None,None,None,None,None,-21659000,None,-8632000,-402000,57473000
24,2012Q1,380.20967580645157,383.52395,377.5077935483871,381.31193548387097,466761.29032258067,1.81,1.83,-0.02,-1.0929,USD,189938000,640804000,450866000,358575000,102224000,49334000,None,158482000,None,None,None,None,None,434000,None,20084000,102658000,39994000,None,62664000,63347000,102224000,124808000,62664000,USD,1527568000,551487000,370191000,464671000,10017000,9087000,976081000,773116000,None,21939000,21939000,21939000,243552000,149072000,94480000,32821000,31954000,357773000,124547000,49154000,None,None,135000,163126000,None,3494000,None,None,135000,75258000,14705000,1169795000,331437000,734123000,349000,31410000,USD,29376000,68392000,None,3003000,16697000,20084000,41864000,710000,1102000,62664000,-102246000,41429000,None,27011000,27011000,None,None,None,None,None,None,None,-26930000,None,-31052000,389000,62664000
25,2012Q2,410.5679380952381,414.9772507936508,405.20379523809527,410.2761904761905,652423.8095238095,1.97,1.93,0.04,2.0725,USD,222453000,691224000,468771000,381412000,133790000,42295000,None,153712000,None,None,None,377000,None,377000,None,20543000,134167000,52484000,None,81683000,80625000,133790000,157283000,81683000,USD,1648409000,620442000,404797000,529533000,10504000,10351000,1027967000,804655000,None,21939000,21939000,21939000,293913000,169177000,124736000,35608000,32196000,387184000,150109000,55960000,None,None,138000,233616000,None,3459000,None,None,3597000,94011000,15096000,1261225000,344023000,815806000,349000,31696000,USD,141499000,5260000,None,26815000,292000,20543000,48468000,1437000,491000,81683000,-98956000,-7272000,None,12586000,12586000,None,None,None,None,None,None,None,-12500000,None,34606000,-665000,81683000
26,2012Q3,324.00142857142856,328.47309047619046,319.82187777777773,323.9611111111111,899212.6984126985,2.56,2.3,0.26,11.3043,USD,214394000,700770000,486376000,391221000,117663000,48606000,None,168883000,None,None,None,547000,None,547000,None,21362000,118210000,45910000,None,72300000,73260000,117663000,141823000,72300000,USD,1706205000,656679000,421149000,573891000,9964000,14566000,1049526000,835654000,None,21939000,21939000,21939000,311753000,159011000,152742000,32060000,32922000,398589000,159333000,65094000,None,None,140000,235833000,None,3423000,None,None,3563000,94099000,15959000,1307616000,386987000,888106000,349000,31643000,USD,123062000,924000,None,13584000,242000,21362000,47173000,4912000,-546000,72300000,-65173000,-41992000,None,42964000,42964000,None,None,None,None,None,None,None,-42882000,None,16352000,455000,72300000
