,Quarter,1. open,2. high,3. low,4. close,5. volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportedCurrency_x,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome_x,reportedCurrency_y,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome_y
57,2010Q3,22.67703125,22.9066921875,22.5101953125,22.76078125,1172687.5,0.39,0.38,0.01,2.6316,USD,270186000,336929000,66743000,58693000,50793000,111183000,105649000,219393000,1315000,None,None,16308000,-1234000,-3046000,None,2561000,47747000,8420000,None,39327000,31346000,50793000,53354000,39327000,USD,3114649000,1495974000,883441000,1209825000,-4493000,148582000,1618675000,139102000,None,1120592000,118061000,1002531000,None,None,326384000,115492000,94107000,1064839000,837054000,None,None,None,-25288000,227785000,None,None,None,None,None,28024000,92082000,2049810000,213637000,758727000,1475000,147537000,USD,207916000,None,None,None,None,21554000,14501000,None,None,39327000,64343000,-63232000,None,75000000,75000000,None,None,None,None,None,None,None,-75000000,14031000,214010000,4983000,39327000
58,2010Q4,25.7421875,25.95263125,25.5735640625,25.8055859375,854385.9375,0.39,0.39,0,0,USD,295716000,375459000,79743000,68376000,33257000,129918000,129298000,262459000,851000,None,None,41650000,-313000,-6002000,None,3243000,39696000,14295000,None,25401000,33416000,33257000,36500000,25401000,USD,3286541000,1247755000,775407000,938561000,-1332000,181102000,2038786000,148580000,297379000,1515499000,249656000,1265843000,None,None,163154000,110999000,105948000,1186359000,921768000,16331000,None,None,294947000,264591000,None,None,None,None,None,9921000,101885000,2100182000,197586000,770674000,1485000,148479000,USD,96892000,None,None,9510000,-11661000,29429000,12366000,-2979000,-137424000,25401000,-213903000,-1437000,None,59442000,59442000,None,21411000,21411000,None,None,None,None,-1354000,58088000,-108034000,10414000,25401000
59,2011Q1,27.372258064516128,27.647701612903226,27.168750000000003,27.41758064516129,1052925.8064516129,0.44,0.4,0.04,10,USD,280339000,364644000,84305000,71070000,46662000,109189000,120740000,233677000,614000,None,None,17423000,2611000,5670000,None,3748000,52332000,4106000,None,48226000,50810000,46662000,50410000,48226000,USD,3213288000,1194277000,700612000,867128000,16959000,169165000,2019011000,149554000,None,1499194000,232670000,1266524000,None,None,166516000,109667000,106146000,1055415000,785082000,None,None,None,-302353000,270333000,None,None,None,None,None,304868000,105923000,2157873000,190332000,816700000,1492000,149246000,USD,-39633000,None,None,-113690000,9092000,31676000,10930000,-10614000,-31615000,48226000,-18579000,-13188000,None,64997000,64997000,None,655000,655000,None,None,None,None,-12533000,52464000,-74795000,-3395000,48226000
60,2011Q2,26.62063492063492,26.832539682539682,26.4306,26.62079365079365,794047.619047619,0.45,0.45,0,0,USD,307642000,393670000,86028000,71120000,51685000,129032000,123169000,255957000,551000,None,None,11340000,-396000,5574000,None,3756000,57259000,-23855000,None,81114000,94932000,51685000,55441000,81114000,USD,3209469000,1206622000,694032000,840463000,769000,210068000,2002847000,150370000,None,1477095000,220610000,1256485000,None,None,146431000,126626000,113209000,1062071000,807836000,None,None,None,-39000,254235000,None,None,None,None,None,2515000,111598000,2147398000,278016000,883487000,1465000,146485000,USD,96488000,None,None,37860000,40318000,33322000,11182000,39518000,72599000,81114000,7160000,-114264000,None,169988000,169988000,None,None,None,None,None,None,None,-113609000,56379000,-6580000,4036000,81114000
61,2011Q3,24.494375,24.828359375,24.1799921875,24.512265625,1173345.3125,0.46,0.43,0.03,6.9767,USD,302063000,386795000,84732000,84732000,58179000,117784000,122547000,243884000,521000,None,None,10467000,-483000,-2212000,None,3553000,55967000,3885000,None,52082000,49913000,58179000,61732000,52082000,USD,3368638000,1362296000,889886000,1038281000,-243000,175386000,2006342000,159059000,None,1462025000,203739000,1258286000,None,None,148395000,127395000,107055000,1247131000,982090000,11627000,753679000,None,-210270000,358294000,None,None,None,None,None,213361000,107849000,2121507000,351896000,931281000,1437000,143666000,USD,310435000,None,None,174579000,-40949000,31961000,22993000,-35684000,None,52082000,-27666000,-92299000,None,100000000,100000000,None,None,None,None,None,None,None,-100000000,10983000,195854000,5384000,52082000
62,2011Q4,26.68904761904762,27.00999365079365,26.454014285714287,26.75095238095238,1022733.3333333334,0.45,0.45,0,0,USD,305149000,390534000,85385000,85385000,56317000,119873000,125415000,248832000,431000,None,None,39230000,723000,-8859000,None,3544000,53555000,13613000,None,39942000,20537000,56317000,59861000,39942000,USD,3368844000,1338055000,855077000,1004074000,-21840000,203124000,2033279000,159517000,313459000,1485317000,196031000,1289286000,None,None,148997000,127152000,103389000,1267544000,1010320000,6956000,759763000,None,-12000,108076000,None,None,None,None,None,3091000,108076000,2101300000,358032000,957517000,1433000,143308000,USD,73026000,None,None,6884000,28206000,31591000,15125000,25754000,-174531000,39942000,-49734000,-57868000,None,66851000,-301650000,None,1842000,1842000,None,None,None,None,344004000,42354000,-34809000,-233000,39942000
63,2012Q1,29.495804838709677,29.74188870967742,29.31010806451613,29.57241935483871,850009.6774193548,0.56,0.52,0.04,7.6923,USD,335642000,425496000,89854000,89854000,70003000,129243000,132875000,265639000,478000,-17000,None,17000,25000,720000,None,3521000,73829000,17135000,17000,56694000,53484000,73846000,77367000,56694000,USD,3299000000,1289650000,811339000,943489000,4717000,213763000,2009350000,157219000,None,1477000000,181515000,1295485000,None,None,132150000,105312000,108053000,1127195000,863828000,9254000,722788000,None,-291669000,357313000,None,None,None,None,None,298299000,111031000,2171805000,347416000,1001409000,1439000,143943000,USD,-39318000,None,None,-130563000,23531000,31965000,11751000,11102000,-14133000,56694000,-1514000,25000,None,20000000,33300000,None,None,None,None,None,None,None,21106000,41106000,-43738000,-2931000,56694000
64,2012Q2,29.324920634920634,29.557998412698414,29.036428571428573,29.31015873015873,682331.746031746,0.53,0.55,-0.02,-3.6364,USD,332055000,432561000,100506000,100506000,17136000,158784000,151230000,314919000,450000,-710000,None,710000,1961000,852000,None,4905000,23489000,2518000,710000,20971000,22485000,24199000,29104000,20971000,USD,3744482000,1173541000,796594000,796594000,1746000,236314000,2570941000,157792000,None,1994528000,364113000,1630415000,None,None,132150000,110029000,113821000,1454506000,1073217000,12854000,735887000,130000000,130000000,479486000,None,270000000,None,120000000,250000000,8329000,123441000,2289976000,272383000,1009475000,1470000,146950000,USD,126774000,None,None,50025000,-445000,42897000,9373000,414000,None,20971000,-436185000,298111000,None,20000000,20000000,None,290000000,290000000,None,None,None,None,-20000000,70074000,-14745000,-3445000,20971000
65,2012Q3,31.64952380952381,31.906026984126985,31.43639047619048,31.71126984126984,751090.4761904762,0.55,0.5,0.05,10,USD,343958000,443747000,99789000,99789000,63395000,131773000,143955000,280563000,323000,-736000,None,736000,-349000,-125000,None,31577000,61085000,-14571000,736000,75656000,66575000,61821000,93398000,75656000,USD,3869271000,1293702000,963767000,963767000,-10469000,210929000,2290664000,165909000,None,1989777000,350893000,1638884000,None,None,None,111775000,112084000,1478171000,1138215000,12084000,856089000,30000000,30000000,437644000,None,255000000,None,112500000,142500000,7183000,124595000,2391100000,228104000,1079382000,1486000,148626000,USD,295680000,None,None,148870000,-36457000,40214000,13902000,-25917000,None,75656000,-33286000,-93413000,-107500000,0,0,None,250000000,250000000,None,None,None,None,17376000,17376000,167173000,-1808000,75656000
66,2012Q4,32.33806451612903,32.57234516129032,32.04885161290323,32.315490322580644,634474.1935483871,0.47,0.47,0,0,USD,351689000,454213000,102524000,102524000,39490000,153288000,153568000,312199000,316000,-528000,None,528000,39000,914000,None,34454000,42228000,13651000,528000,29081000,45343000,42756000,77210000,28577000,USD,4147656000,1140656000,700382000,700382000,29033000,292668000,2767588000,191243000,350107000,2443309000,466322000,1976987000,None,None,None,101306000,123607000,1603685000,1252639000,29855000,902048000,30000000,30000000,231217000,None,240000000,None,105000000,135000000,357920000,126217000,2501686000,168090000,1098694000,1509000,150899000,USD,102932000,None,None,82214000,61798000,41764000,22467000,67796000,13830000,29081000,-408138000,38765000,128656000,0,0,None,3938000,3938000,None,None,None,None,47340000,47340000,-263385000,3056000,28577000
