,Quarter,1. open,2. high,3. low,4. close,5. volume,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportedCurrency_x,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome_x,reportedCurrency_y,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome_y
4,2012Q4,56.119677419354836,57.12,54.76806451612903,55.91580645161291,607816.1290322581,0.01,0.01,0,0,USD,61744000,85934000,75753000,24190000,-3131000,51563000,13312000,64875000,98000,-40000,None,40000,None,-72000,None,2053000,-3203000,312000,40000,-3515000,-3542000,-3163000,-908000,-3515000,USD,444297000,394739000,174473000,321557000,None,56369000,70125000,22965000,None,None,None,None,435153000,20567000,147084000,16813000,6026000,208508000,142616000,10290000,None,None,None,65892000,None,None,None,None,None,30914000,6896000,235789000,None,-83543000,7000,68445000,USD,23076000,407000,None,25676000,14557000,2053000,4015000,10727000,989000,-3515000,-172490000,1245000,0,24000,24000,None,None,None,None,None,None,None,1510000,None,-148169000,None,-3515000
5,2013Q1,54.92716666666667,55.8275,53.897166666666664,54.9125,1073975.0,0.02,0.01,0.01,100,USD,68881000,96499000,83161000,27618000,-2157000,55543000,15495000,71038000,116000,-7000,None,7000,None,56000,None,13000,-2101000,512000,7000,-2613000,-2597000,-2094000,-2081000,-2613000,USD,490149000,426674000,187924000,337444000,None,68586000,94346000,25980000,None,957000,957000,None,484722000,30871000,149520000,20644000,6624000,246629000,168996000,10769000,None,None,None,77633000,None,None,None,None,None,40790000,6887000,243520000,None,-86156000,7000,68896000,USD,34507000,550000,None,28415000,15677000,2415000,6221000,12217000,9361000,-2613000,-19738000,-1318000,0,11000,11000,None,None,None,None,None,None,None,1009000,None,13451000,None,-2613000
6,2013Q2,50.07046875,50.8528125,49.171875,49.95265625,1097807.8125,0.02,0.02,0,0,USD,73599000,101289000,91691000,27690000,-6450000,64001000,16048000,80049000,133000,-18000,None,18000,None,-24000,None,42000,-6474000,808000,18000,-7282000,-7248000,-6456000,-6414000,-7282000,USD,538777000,472724000,213664000,361697000,None,91489000,95820000,29500000,None,1415000,1415000,None,484192000,29767000,148033000,19538000,6786000,274896000,182018000,12810000,None,None,None,92878000,None,None,None,None,None,35240000,7542000,263881000,None,-93438000,7000,71103000,USD,15206000,-780000,None,32752000,21604000,2753000,6359000,22903000,-3244000,-7282000,-4409000,14943000,0,36000,36000,None,None,None,None,None,None,None,14872000,None,25740000,None,-7282000
7,2013Q3,47.33953125,47.9428125,46.68390625,47.31390625,880545.3125,0.02,0.02,0,0,USD,82127000,112385000,101641000,30258000,-6883000,71383000,17627000,89010000,137000,-9000,None,9000,None,5000,None,57000,-6878000,8958000,9000,-15836000,-15875000,-6869000,-6812000,-15836000,USD,585606000,529699000,310600000,419621000,None,87461000,73221000,32086000,19476000,1358000000,1358000000,0,433009000,17314000,109007000,22617000,5149000,313186000,206102000,15544000,None,None,35757000,107084000,None,None,None,0,None,3465000,11799000,272420000,None,-109274000,7000,71612000,USD,41730000,6643000,None,32409000,-1154000,2671000,5847000,-4028000,10187000,-15836000,45072000,10148000,0,7000,7000,None,None,None,None,None,None,None,3563000,None,96950000,None,-15836000
8,2013Q4,47.40875,48.06375,46.75921875,47.5478125,1058459.375,0.03,0.02,0.01,50,USD,94373000,128180000,115298000,33807000,-7011000,81491000,19893000,101384000,160000,-8000,None,8000,None,397000,None,155000,-6614000,1247000,8000,-7861000,-7840000,-6606000,-6451000,-7861000,USD,639943000,552332000,266182000,436733000,None,91439000,121253000,42409000,None,6203000,6203000,None,490374000,33642000,170551000,24160000,11560000,350164000,228329000,15218000,None,None,None,121835000,None,None,None,None,None,41494000,14496000,289779000,None,-117135000,7000,72483000,USD,38881000,56000,None,29521000,5685000,3146000,15680000,3978000,3340000,-7861000,-93959000,10646000,0,8000,8000,None,None,None,None,None,None,None,10590000,None,-44432000,None,-7861000
9,2014Q1,68.06245901639345,69.51426229508196,66.49540983606558,68.07065573770493,1756777.049180328,0.03,0.03,0,0,USD,103564000,141068000,154241000,37504000,-37156000,116467000,24253000,140720000,187000,-14000,None,14000,None,-184000,None,270000,-37340000,2606000,14000,-39946000,-39908000,-37326000,-37056000,-39946000,USD,689026000,555287000,261867000,438212000,None,86090000,215071000,45735000,None,18227000000,8133000,10094000,516900000,63105000,176345000,30985000,24899000,404582000,262809000,10341000,None,None,None,141773000,None,None,None,None,None,50138000,19512000,284444000,None,-157081000,7000,73998000,USD,41396000,618000,None,41453000,-849000,3936000,9803000,-5349000,6515000,-39946000,-55703000,9992000,0,101000,101000,None,None,None,None,None,None,None,9374000,None,-4315000,None,-39946000
10,2014Q2,70.02619047619046,71.66539682539683,68.37238095238095,70.03206349206349,1948857.142857143,0.04,0.03,0.01,33.3333,USD,110990000,150700000,148242000,39710000,-145732000,107712000,27837000,256722000,272000,-13000,None,13000,None,417000,None,820000,-145315000,1272000,13000,-146587000,-146569000,-145302000,-144482000,-146587000,USD,880387000,516445000,234790000,367970000,None,114789000,467844000,48488000,None,204699000,49613000,155086000,241082000,103902000,133180000,33686000,6853000,608694000,435351000,24641000,None,None,-7473000,173343000,None,None,None,None,None,179484000,36636000,271693000,None,-296196000,7000,77055000,USD,34279000,84000,None,56542000,30310000,4556000,5896000,28591000,120054000,-146587000,-79644000,18288000,0,23000,23000,None,None,None,None,None,None,None,18204000,None,-27077000,None,-146587000
11,2014Q3,86.17453125,87.4645,84.695171875,86.1196875,1653156.5625,0.04,0.04,0,0,USD,129624000,178252000,170849000,48607000,-25448000,122242000,32830000,155072000,None,-1848000,None,1848000,None,-5560000,None,1658000,-32891000,-833000,1848000,-32058000,-32283000,-31043000,-29385000,-32058000,USD,1478466000,958326000,653800000,772502000,None,135518000,722020000,48744000,30622000,202988000,47955000,155033000,320570000,201880000,118690000,50306000,66528000,1009883000,348171000,14526000,422578000,None,60937000,661712000,None,466875000,466875000,466875000,358750000,12790000,32177000,468583000,None,-335726000,8000,79519000,USD,-26156000,243000,None,70911000,23111000,7762000,4721000,20729000,-131668000,-32106000,-90994000,536174000,0,0,0,None,None,None,None,None,None,None,86557000,None,419024000,None,-32058000
12,2014Q4,110.3465625,112.291015625,108.6590890625,110.5878125,1808143.375,0.05,0.04,0.01,25,USD,138900000,186857000,180558000,53400000,-23800000,125343000,37300000,162700000,None,-5489000,11000,5500000,None,341000,None,1754000,-28900000,1200000,5489000,-30068000,-30000000,-23400000,-21646000,-30100000,USD,1540356000,933567000,543700000,771499000,None,116224000,895800000,49823000,None,202484000,47451000,155033000,516763000,289011000,227752000,45844000,65471000,1047145000,360966000,10497000,470720000,None,None,686179000,None,368712000,None,471856000,368712000,63787000,30285000,493211000,None,-365794000,8000,80518000,USD,74900000,346000,None,30890000,-22703000,6100000,5900000,-19294000,4455000,-30068000,-201100000,16100000,0,0,0,None,None,None,None,None,None,None,15754000,None,-110100000,None,-30100000
13,2015Q1,134.07032786885244,135.9382262295082,132.02576557377049,134.31704918032787,1338581.049180328,0.06,0.06,0,0,USD,158300000,212116000,211178000,59400000,-38500000,149898000,47000000,196800000,None,-5539000,-39000,5500000,None,344000,None,1955000,-43700000,-700000,5539000,-43008000,-42800000,-38200000,-36245000,-43000000,USD,1672784000,861504000,343000000,675057000,None,135251000,1286518000,52639000,None,201258000,45856000,155402000,795982000,463908000,332074000,51196000,93475000,1156723000,415074000,14001000,535843000,None,None,741649000,None,476872000,None,476872000,476872000,76594000,53413000,516061000,None,-408802000,8000,82265000,USD,76900000,925000,None,84909000,54871000,6800000,6200000,19027000,-15137000,-43008000,-286300000,8705000,0,0,0,None,None,None,None,None,None,None,7780000,None,-200700000,None,-43000000
